lat,lon,emission
53.2,-60.5,669.001
63.0,12.9,7.17915
46.2,6.1,146786.0
50.2,24.8,3723.67
51.5,30.1,300.082
53.0,16.1,4158.83
46.1,1.2,3573.35
40.4,35.6,5514.4
56.0,30.0,63.4266
64.0,26.2,247.76
48.0,7.1,13701.7
49.5,30.6,1901.72
42.8,0.7,2219.45
54.0,28.3,4933.33
51.2,-2.4,4932.79
48.9,-1.6,7493.44
48.0,12.4,5357.55
59.9,6.0,1084.96
55.7,-3.0,986.117
48.3,35.9,2184.07
48.5,31.0,1708.07
48.0,30.6,1495.88
52.2,24.9,1060.58
42.8,-7.1,1038.11
53.9,38.4,2159.71
49.2,10.2,10057.8
48.7,24.3,1358.76
41.8,14.8,2246.47
41.8,1.0,4180.89
41.1,2.0,37.2713
50.1,35.4,2337.38
44.8,-61.6,10.8402
45.8,-68.4,1333.69
59.6,7.8,264.458
55.3,-7.3,178.533
53.0,7.9,7220.86
57.6,30.8,149.082
49.2,32.9,1845.07
48.5,20.0,594.507
58.2,22.6,1048.82
61.4,29.0,287.317
50.1,21.7,5376.37
48.7,8.5,10819.2
45.4,14.9,3445.23
51.1,18.7,2459.23
49.0,7.8,3065.65
52.4,-6.9,794.778
51.2,1.4,212.412
65.9,17.9,575.819
54.5,29.7,1328.11
65.3,-15.6,5.50574
41.4,26.0,1334.22
47.2,15.8,15329.9
51.8,7.1,7883.04
53.4,-9.2,545.823
57.5,25.2,2947.1
58.5,29.9,263.059
66.3,28.2,7.12481
48.3,21.7,7616.27
51.2,36.5,1421.89
59.3,7.6,398.178
50.1,31.5,1962.15
48.6,31.1,1674.39
69.7,19.0,1394.3
66.3,18.1,675.878
45.0,22.0,27.3328
55.0,8.6,15935.6
62.6,16.9,936.217
49.9,3.7,3014.82
61.0,29.7,32.1256
41.2,27.2,4198.36
50.9,31.9,2736.52
53.5,14.9,4684.28
51.1,-4.2,3880.48
53.4,39.3,913.313
51.6,-5.3,10.6635
49.7,8.1,18523.0
53.4,19.7,7224.83
43.7,-69.5,54.5243
46.7,32.8,3917.8
43.0,24.6,887.764
53.0,-66.8,60.0804
59.8,32.4,18.5626
55.2,36.2,370.385
55.5,21.4,3684.21
43.0,6.3,971.579
65.0,-23.9,0.0112275
62.1,6.4,301.084
65.2,13.8,15.6072
42.7,25.0,831.191
51.7,13.5,1075.26
52.0,29.2,19479.7
45.5,34.8,3619.89
57.3,30.7,206.271
63.7,20.9,22.563
65.9,20.4,423.636
56.1,29.6,85.5626
54.5,38.2,1180.47
48.1,-0.1,6780.99
43.0,19.6,1118.48
40.4,38.1,5314.93
44.6,-69.0,2352.25
49.6,25.3,5007.56
54.0,38.5,1312.27
63.1,7.9,356.688
47.0,36.1,2052.28
60.7,28.1,123.098
68.1,13.5,2348.49
44.0,7.8,2255.27
60.5,7.2,49.8752
67.5,26.6,96.002
49.4,16.7,8418.43
58.2,13.0,3799.44
55.8,14.2,5934.3
54.6,21.0,1750.64
47.1,28.6,13817.5
69.1,36.0,7.15246
48.6,18.2,5380.91
59.7,38.3,17.6107
62.8,33.1,1.42789
52.2,-9.2,581.483
53.6,18.7,7036.81
52.0,-9.3,620.54
58.7,26.0,665.846
54.7,38.6,913.44
55.0,33.2,1105.99
49.0,28.7,2911.87
55.8,26.1,735.745
52.3,31.8,167.405
50.5,23.1,4017.34
49.8,23.6,3224.76
47.4,23.7,2719.41
48.7,37.6,4224.32
41.4,17.0,0.548566
46.4,8.4,184.621
53.0,24.0,2641.88
57.2,38.1,413.47
44.9,-68.4,372.906
54.0,-4.8,148.622
55.0,19.9,0.0787718
43.0,20.4,12154.6
48.5,20.4,1254.7
56.5,32.3,67.6973
43.9,18.3,9648.64
46.6,29.6,4675.3
49.9,40.0,1197.22
65.8,-21.3,21.8552
48.3,-66.3,10.0839
62.0,36.0,47.755
54.1,13.1,2995.72
55.0,15.1,8046.06
51.1,-2.5,4426.15
49.5,31.3,1576.35
54.7,14.4,14.282
45.4,39.3,2166.61
52.7,0.3,278504.0
53.5,36.2,1177.19
62.1,16.7,778.294
60.5,21.9,2363.08
55.7,37.0,1670.96
43.6,-9.2,0.658861
50.5,34.1,2541.58
46.0,8.7,9141.82
44.1,3.9,1419.61
40.4,29.5,1591.99
40.6,14.4,26612.4
40.3,-1.0,255.786
63.9,28.6,29.2924
52.6,-56.6,284.799
53.7,-9.1,1362.16
62.1,10.2,322.172
50.4,-1.3,0.721109
60.8,7.0,89.8928
52.0,11.9,4164.74
48.9,29.1,2534.29
51.6,9.0,7243.93
68.7,19.0,80.1643
45.8,15.9,29140.3
40.3,-6.4,1131.1
65.2,31.1,144.033
47.9,28.1,6823.93
41.5,24.8,2135.14
42.7,-6.4,377.412
57.1,28.9,39.6291
48.5,4.5,2731.22
40.8,37.2,2863.38
45.6,18.9,12292.5
50.1,15.6,13878.3
51.4,12.7,6573.08
65.9,19.0,621.802
51.3,7.0,43683.7
47.8,10.7,4429.92
46.2,16.3,41494.8
64.1,27.6,318.449
56.2,13.7,7092.18
41.4,-8.5,44386.9
54.4,10.9,39.6613
52.0,-4.1,1169.33
61.0,33.3,2.85578
60.8,9.0,279.535
51.6,32.7,879.723
56.8,32.3,92.6973
51.9,-0.1,6497.75
47.3,-65.0,1374.9
43.9,12.0,1050.83
46.2,-0.6,10811.7
42.5,12.2,9153.97
54.1,-8.8,71.2685
53.5,24.5,1781.3
47.3,21.8,4297.31
51.8,-10.1,80.047
55.5,31.7,174.976
52.1,39.5,1194.47
65.0,-20.7,1.98285
40.2,26.2,158.726
50.7,37.2,1820.82
46.0,-66.2,937.868
51.4,-0.1,34473.1
59.8,14.0,700.886
64.6,25.0,1368.99
63.6,15.9,502.104
44.9,10.3,11282.5
46.0,28.1,12792.5
47.7,30.0,2111.18
56.3,13.8,587.715
53.5,14.3,1394.08
48.2,11.8,17131.6
45.0,2.5,1088.61
60.6,24.1,299.381
43.8,-1.2,3304.19
40.4,35.3,2839.56
61.1,13.0,1622.67
48.5,20.6,2651.44
49.5,27.4,2159.62
49.4,32.9,2140.93
40.1,32.4,4304.86
42.3,8.7,107.065
40.2,29.4,5092.13
59.8,39.9,80.5281
51.6,-0.1,20264.6
69.0,35.7,3.85301
45.4,17.6,11019.0
58.2,33.8,103.118
63.7,19.8,1188.34
41.3,25.4,2147.61
48.4,24.0,77.4654
59.3,18.1,2540180.0
49.9,16.0,9423.6
54.8,-3.3,1688.89
41.8,24.3,1444.68
41.3,12.9,7408.21
62.2,12.9,579.945
44.3,9.9,9057.45
40.3,24.1,72.8168
63.3,16.8,11.2815
57.6,28.1,254.384
47.9,24.1,3559.88
46.4,22.5,4517.01
53.5,39.7,1012.22
43.0,1.1,3746.96
49.3,30.6,3019.87
47.9,9.0,5935.62
45.6,8.0,11932.8
47.7,31.4,2058.6
52.4,26.1,644.406
62.3,23.7,315.505
50.8,18.7,5099.01
56.0,31.1,8.82127
47.9,-1.3,11598.0
41.3,19.6,11040.4
55.7,-4.3,10911.3
51.2,18.5,16870.7
48.2,29.5,2728.18
43.6,24.0,5011.9
59.8,16.7,552.027
62.3,24.5,159.157
57.2,14.6,491.208
45.0,9.0,19398.8
58.9,27.1,100.569
43.7,15.7,3707.01
64.7,-14.6,2.67043
42.3,-3.4,576.799
52.2,22.5,4710.15
59.0,9.9,3778.2
45.9,-65.0,799.025
41.2,20.2,2391.98
58.1,29.6,19.3559
48.1,37.2,4201.84
52.2,-7.5,1275.76
52.3,-2.5,5085.44
40.1,21.9,2529.62
53.5,27.9,1975.86
45.1,-64.5,5366.08
47.0,0.7,3636.05
67.5,32.9,1.11058
51.8,24.3,736.283
53.5,8.7,4191.87
49.7,1.1,7864.06
42.2,15.4,0.292675
56.5,35.2,174.0
48.0,10.8,24992.3
42.6,22.5,180.855
45.7,12.0,32049.5
40.1,-3.6,5904.25
50.5,26.2,11732.2
48.6,-5.2,0.499052
42.4,1.7,229.105
47.5,28.8,8871.12
49.3,19.2,1751.62
46.0,15.7,10958.6
66.3,17.1,571.275
59.7,21.1,494.11
57.8,36.8,489.407
50.5,-1.3,5155.66
57.1,29.1,12.1114
41.2,34.6,887.206
48.9,5.2,3060.03
57.5,21.7,24.9825
49.7,22.5,2746.45
47.5,5.4,2771.83
43.1,0.4,5826.7
65.3,30.3,0.475964
44.1,15.3,11519.0
44.2,-63.1,6.66387
47.4,6.4,3238.93
69.8,19.3,498.62
46.3,23.5,889.637
40.5,-5.3,272.933
61.8,14.9,17.4351
43.1,11.5,3538.76
66.1,40.0,0.0011506
45.4,-65.5,29.7116
64.4,24.7,115.88
43.7,27.6,8234.21
46.8,35.1,2268.2
65.2,27.8,49.8966
56.4,33.3,72.0306
64.0,20.3,399.627
69.0,33.5,182.036
47.8,9.7,10052.6
44.1,-70.0,4385.2
55.2,25.4,9335.18
48.2,13.4,27429.7
64.6,15.4,7.85025
40.6,22.9,45619.1
58.7,14.9,803.825
40.8,17.8,0.589195
56.5,10.2,4155.36
47.2,17.7,2953.67
40.4,32.0,299.747
40.8,16.9,7067.92
65.8,20.1,724.049
45.8,19.3,1954.23
65.1,37.7,0.000478694
54.5,10.6,8.14058
40.4,37.1,4277.98
61.0,38.5,19.417
55.1,8.9,3090.26
52.0,26.7,1031.21
45.8,38.0,51.4796
47.6,13.0,17212.6
57.7,9.3,9.57115
55.1,37.5,2215.42
60.3,34.9,1.90386
45.4,-69.7,1259.24
48.5,16.2,3362.27
47.0,31.3,1770.27
41.4,13.6,13602.4
61.3,15.5,1354.2
58.3,30.2,115.551
61.0,35.4,443.531
58.6,6.5,625.884
41.0,39.3,2388.77
69.6,31.8,0.0563793
60.4,11.0,2023.43
44.5,-66.4,13.7048
66.2,34.1,0.795979
52.0,27.9,1328.14
49.4,31.8,335.062
51.9,17.7,7709.62
52.7,9.9,3836.28
58.5,23.9,1278.69
57.6,34.8,21.5697
60.8,14.0,271.937
48.4,29.8,3148.08
65.7,-21.4,46.8847
40.6,13.8,47.7707
44.8,-0.8,45279.0
51.8,-0.7,9432.98
56.9,16.0,326.258
49.7,27.0,3282.05
41.0,-1.4,931.231
58.4,7.9,849.795
48.5,22.8,909.446
57.0,-4.0,143.574
65.1,-22.6,0.0589928
41.8,2.0,2742.75
57.4,22.5,2238.9
64.6,19.6,13.8105
41.8,16.4,1.17556
52.4,5.2,3439.89
59.9,32.1,189.263
50.0,24.8,1165.5
55.4,38.0,597.875
54.9,40.0,6.34619
45.1,3.9,5487.75
61.9,7.7,34.0521
45.5,20.7,6393.35
60.9,36.5,367.899
68.5,19.2,53.9158
47.5,22.4,4024.87
50.3,29.1,1667.25
45.7,19.4,2416.04
54.5,-3.0,849.961
41.6,-3.8,8053.72
